economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ARM,11827.0,12102.0,13898.0,16252.0,19028.0,20809.0,22131.0,22014.0,20855.0,17128.0,12700.0,14094.0,15836.0,17425.0,17995.0,17829.0,49014.0,53042.0,53277.0,-22659.0,-26099.0,-28487.0,-30862.0,-31993.0,-25143.0,-27710.0,-27727.0,-26879.0,-13325.0,98517.0,2122.0,5422.0,-196270.0,-126963.0,-112569.0,-50223.0,-51023.0,-51640.0,-55171.0,-51871.0,-52780.0,-51303.0,-27792.0,-29616.0,-30103.0,-29921.0,-29921.0,-29980.0,-29732.0,-30357.0,-30009.0,-17296.0,-16782.0,-16265.0,-15745.0,-15225.0,-14697.0,-14180.0,-13129.0,-14330.0,-13046.0,-19457.0,38001.0,75000.0
ASM,-257.0,-93.0,-94.0,-97.0,-100.0,-93.0,-22.0,-110.0,-68.0,-83.0,-295.0,-382.0,-381.0,-408.0,-393.0,-272.0,-291.0,-320.0,-355.0,-390.0,129.0,344.0,354.0,365.0,344.0,319.0,289.0,263.0,217.0,152.0,-219.0,-420.0,-491.0,-568.0,-523.0,-449.0,-407.0,-412.0,-459.0,-536.0,-1068.0,-1332.0,-1412.0,-1488.0,-1544.0,-1529.0,-1460.0,-1388.0,-1342.0,-1281.0,-1261.0,-1298.0,-1332.0,-1354.0,-1367.0,-1366.0,-1349.0,-1305.0,-1256.0,-1212.0,-653.0,-1333.0,-1305.0,-1159.0
ATG,-351.0,-685.0,-712.0,-738.0,-590.0,-601.0,-563.0,-481.0,-382.0,-271.0,-861.0,-1203.0,-1428.0,-1436.0,-1335.0,-1203.0,-1058.0,-942.0,-889.0,-854.0,-824.0,-810.0,-798.0,-761.0,-1182.0,-1261.0,-1175.0,-1174.0,-1168.0,-1124.0,-1085.0,225.0,424.0,507.0,535.0,555.0,505.0,489.0,456.0,386.0,263.0,139.0,40.0,32.0,93.0,196.0,315.0,371.0,369.0,338.0,291.0,243.0,196.0,145.0,97.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,85707.0,64495.0,58315.0,73237.0,91588.0,118891.0,110864.0,80904.0,100963.0,108770.0,256295.0,223991.0,54895.0,62928.0,56167.0,25336.0,32792.0,44946.0,45832.0,52137.0,89189.0,121921.0,111722.0,73251.0,79617.0,98327.0,113061.0,136421.0,153330.0,144042.0,100093.0,68847.0,40767.0,23833.0,51941.0,80456.0,82965.0,67661.0,81310.0,92900.0,111186.0,117552.0,108852.0,104437.0,110072.0,131371.0,191985.0,249873.0,275773.0,235628.0,166752.0,197657.0,235776.0,215823.0,200177.0,212350.0,254648.0,255023.0,226412.0,207142.0,44447.0,116768.0,140972.0,140232.0
AUT,-1732.0,-2760.0,1509.0,4774.0,3646.0,10719.0,18656.0,21285.0,-6880.0,5896.0,10601.0,32392.0,36703.0,34856.0,-16276.0,-24253.0,8336.0,13245.0,-8131.0,-1785.0,9811.0,29590.0,-22711.0,-1474.0,2906.0,5940.0,6630.0,1434.0,13807.0,46232.0,59873.0,77417.0,71451.0,33688.0,3113.0,1890.0,4077.0,1589.0,8702.0,19949.0,17631.0,39866.0,37508.0,44362.0,55007.0,50676.0,25787.0,24616.0,25405.0,18222.0,22570.0,31887.0,45014.0,56726.0,74375.0,115175.0,65976.0,45478.0,35296.0,41090.0,39601.0,52150.0,157365.0,4819.0
AZE,-148.0,-171.0,-183.0,-192.0,-1629.0,-3848.0,-3848.0,-3847.0,-3847.0,-3847.0,-3847.0,-3847.0,-3847.0,-3847.0,-3847.0,-3847.0,40241.0,39074.0,14836.0,-24019.0,-27778.0,-28276.0,-28467.0,-28573.0,-50685.0,-57247.0,-60841.0,-69061.0,-25290.0,-101986.0,-63324.0,-49814.0,-23984.0,-12224.0,21376.0,32139.0,42667.0,24475.0,13101.0,5300.0,15938.0,16252.0,15068.0,13153.0,13486.0,16431.0,16909.0,17112.0,15047.0,883.0,1373.0,1686.0,1986.0,2291.0,1073.0,1073.0,4671.0,-11324.0,-37559.0,384.0,1073.0,1073.0,9086.0,-84122.0
BDI,-14620.0,15094.0,-15378.0,-11502.0,29639.0,-13947.0,5262.0,-9821.0,-5917.0,-25292.0,-6346.0,-7569.0,-118457.0,2843.0,10065.0,-20693.0,-12848.0,1884.0,8247.0,-40126.0,149361.0,-58723.0,-3844.0,-41756.0,-29534.0,-66574.0,-55742.0,-21179.0,-46464.0,-43561.0,-39926.0,-39236.0,35769.0,-684261.0,516373.0,-84697.0,-226317.0,-84126.0,13840.0,-34465.0,-40032.0,9967.0,-16871.0,36719.0,47091.0,17905.0,15322.0,22129.0,79319.0,184359.0,11845.0,-19513.0,22617.0,-2285.0,-6856.0,-236207.0,-109296.0,-68349.0,68141.0,14253.0,-10189.0,-14415.0,1995.0,1995.0
BEL,9893.0,10566.0,14829.0,16355.0,17687.0,18243.0,18985.0,19492.0,19809.0,20072.0,19393.0,7992.0,8384.0,8684.0,8924.0,9652.0,10360.0,10460.0,10828.0,11277.0,11482.0,2826.0,1100.0,1252.0,1697.0,2165.0,2964.0,3525.0,3929.0,7301.0,8299.0,27038.0,25941.0,18542.0,17636.0,1937.0,15684.0,10262.0,12517.0,16849.0,13952.0,34924.0,39404.0,34472.0,35143.0,50576.0,53574.0,59911.0,66470.0,97175.0,105232.0,52464.0,45001.0,28066.0,37472.0,63536.0,28090.0,37981.0,50604.0,58469.0,43777.0,24017.0,118615.0,41679.0
BEN,-4722.0,-4791.0,-4844.0,-4847.0,-4839.0,-4793.0,-4764.0,-4756.0,-4756.0,-4792.0,-4851.0,-4921.0,-4970.0,-4960.0,-4814.0,-4607.0,-4308.0,-4022.0,-3731.0,-3365.0,-2946.0,-2543.0,-2253.0,-2090.0,-2018.0,-1953.0,-1899.0,-1792.0,-1867.0,-315.0,-333.0,0.0,-138.0,156223.0,-85128.0,-45469.0,-16490.0,-1322.0,2051.0,3177.0,3335.0,3732.0,3572.0,4283.0,4173.0,30495.0,-15135.0,241.0,3198.0,4279.0,3947.0,4283.0,1260.0,-887.0,3667.0,3369.0,3837.0,3716.0,3372.0,3366.0,1729.0,1729.0,-192.0,-192.0
BFA,-23220.0,-24687.0,-26040.0,-26382.0,-26307.0,-25398.0,-27301.0,-26444.0,-27461.0,-28406.0,-28832.0,-34524.0,-33679.0,-34452.0,-30599.0,-30484.0,-25786.0,-18914.0,-19274.0,-18559.0,-15345.0,-17797.0,-15879.0,-11618.0,-12445.0,-16623.0,-25051.0,-29081.0,-30068.0,-31843.0,-32970.0,-50451.0,-45003.0,-43784.0,-37554.0,-38943.0,-44314.0,-37200.0,-5367.0,-1922.0,3877.0,10654.0,16076.0,15359.0,17570.0,9795.0,-4218.0,-28202.0,-40725.0,-40148.0,-42055.0,-33391.0,-20930.0,-33212.0,-17984.0,-19726.0,-7598.0,-14780.0,-23938.0,-25240.0,-5661.0,-13079.0,-24960.0,-24957.0
BGD,13580.0,26503.0,26533.0,23215.0,25426.0,47610.0,3758.0,23164.0,-7970.0,-125010.0,-73719.0,224369.0,-269033.0,-77324.0,-277545.0,-390212.0,-424970.0,-458491.0,-486721.0,-507354.0,-515918.0,-184884.0,-156729.0,-201909.0,-245693.0,-287872.0,-331992.0,-367475.0,-395408.0,-406910.0,-404105.0,-230852.0,-246914.0,-271677.0,-206958.0,-231304.0,-254239.0,-273442.0,-286966.0,-286256.0,-512422.0,-737740.0,-819909.0,-896335.0,-970264.0,-1036635.0,-1091865.0,-1133553.0,-1158420.0,-1150194.0,-1113727.0,-848910.0,-829875.0,-862944.0,-889222.0,-909223.0,-918770.0,-1037176.0,-1029069.0,-1016796.0,-1002522.0,-994722.0,-549990.0,-549918.0
BGR,-1112.0,378.0,499.0,500.0,505.0,-1406.0,-144.0,-420.0,-132.0,-3204.0,-11315.0,-7654.0,-11296.0,-5409.0,-1402.0,-38071.0,-2522.0,-11955.0,-62769.0,-872.0,-2045.0,-1830.0,-1860.0,-1872.0,-1032.0,-19230.0,1104.0,357.0,215.0,-114705.0,-116817.0,-119356.0,-120552.0,-19973.0,-20984.0,-22020.0,-21520.0,-22963.0,-23262.0,-23846.0,-26211.0,-30726.0,-12735.0,-13183.0,-13604.0,-14435.0,-15184.0,-16366.0,-17595.0,-19060.0,-21668.0,-23360.0,-26334.0,-1324.0,-2180.0,-4227.0,-9482.0,-6109.0,-3873.0,-2156.0,30167.0,11756.0,26498.0,5173.0
BHR,1266.0,1076.0,810.0,714.0,491.0,-415.0,-718.0,-829.0,-3952.0,-4638.0,-4939.0,3159.0,6190.0,6450.0,6711.0,6900.0,6993.0,7017.0,6974.0,6908.0,6741.0,4523.0,3980.0,4252.0,4557.0,4657.0,4822.0,5152.0,5294.0,5220.0,5090.0,4562.0,2768.0,2850.0,3387.0,3842.0,4162.0,4036.0,3733.0,3130.0,2886.0,34371.0,45952.0,45571.0,45413.0,45682.0,46615.0,47500.0,47674.0,46467.0,-19329.0,-26107.0,12801.0,35574.0,40815.0,36809.0,46833.0,21958.0,-25978.0,-31967.0,-5048.0,11882.0,18975.0,20002.0
BHS,2290.0,2547.0,2729.0,2814.0,2129.0,2488.0,2816.0,3123.0,3405.0,3068.0,1517.0,825.0,296.0,125.0,164.0,323.0,490.0,586.0,563.0,484.0,367.0,125.0,160.0,243.0,302.0,469.0,389.0,326.0,413.0,523.0,241.0,412.0,433.0,445.0,454.0,460.0,454.0,445.0,437.0,418.0,845.0,290.0,636.0,949.0,1030.0,804.0,1735.0,1727.0,1474.0,1613.0,1898.0,1381.0,1047.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,0.0,481.0,1001.0,1001.0
