STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,TERRITORIAL_TYPE,Territorial typology,REF_AREA,Reference area,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT33,Tyrol,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,757634,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT33,Tyrol,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,760105,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT33,Tyrol,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,764102,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT33,Tyrol,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,751140,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT32,Salzburg,POP,Population,_T,Total,_T,Total,PS,Persons,2019,,555221,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT32,Salzburg,POP,Population,_T,Total,_T,Total,PS,Persons,2020,,558410,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT32,Salzburg,POP,Population,_T,Total,_T,Total,PS,Persons,2021,,560710,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT32,Salzburg,POP,Population,_T,Total,_T,Total,PS,Persons,2022,,562606,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT11,Burgenland (AT),POP,Population,_T,Total,_T,Total,PS,Persons,2018,,292675,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT11,Burgenland (AT),POP,Population,_T,Total,_T,Total,PS,Persons,2019,,293433,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT11,Burgenland (AT),POP,Population,_T,Total,_T,Total,PS,Persons,2020,,294436,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT11,Burgenland (AT),POP,Population,_T,Total,_T,Total,PS,Persons,2021,,296010,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL2,TL2,_Z,Not applicable,AT11,Burgenland (AT),POP,Population,_T,Total,_T,Total,PS,Persons,2022,,297583,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT311,Innviertel,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,102.78,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT311,Innviertel,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2019,,103.36,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT311,Innviertel,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2020,,104.03,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT311,Innviertel,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2021,,104.53,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT311,Innviertel,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2022,,105.33,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT123,Sankt Pölten,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2018,,127.58,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT123,Sankt Pölten,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2019,,128.04,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT123,Sankt Pölten,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2020,,128.8,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT123,Sankt Pölten,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2021,,129.34,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT123,Sankt Pölten,POP,Population,_T,Total,_T,Total,PS_KM2,Persons per square kilometer,2022,,130.2,,AUT,Austria,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_5Y(1.0),Population by 5-year age groups - Regions,I,A,Annual,TL3,TL3,_Z,Not applicable,AT341,Bludenz-Bregenzer Wald,POP,Population,_T,Total,_T,Total,PS,Persons,2018,,91399,,AUT,Austria,A,Normal value,0,Units,0,Zero
